year,file,pages,type
1987,1987_results_marathon_swim_1987.pdf,1,scan (OCR needed)
1988,1988_results_marathon_swim_1988.pdf,1,scan (OCR needed)
1989,1989_results_marathon_swim_1989.pdf,2,scan (OCR needed)
1990,1990_results_marathon_swim_1990.pdf,2,scan (OCR needed)
1991,1991_results_marathonswim_1991.pdf,1,scan (OCR needed)
1992,1992_results_marathon_swim_1992.pdf,1,scan (OCR needed)
1993,1993_results_marathon_swim_1993.pdf,2,scan (OCR needed)
1994,1994_results_marathon_swim_1994.pdf,1,scan (OCR needed)
1995,1995_results_marathon_swim_1995.pdf,2,scan (OCR needed)
1996,1996_results_marathon_swim_1996.pdf,3,scan (OCR needed)
1998,1998_results_marathon_swim_1998.pdf,6,scan (OCR needed)
1999,1999_results_marathon_swim_1999.pdf,2,scan (OCR needed)
1999,1999_results_mini_marathon_swim_2.6km_1999.pdf,2,scan (OCR needed)
2000,2000_results_marathon_swim_2000.pdf,2,scan (OCR needed)
2001,2001_results_marathon_swim_2001.pdf,2,scan (OCR needed)
2002,2002_results_marathon_swim_2002.pdf,4,text
2003,2003_results_marathon_swim_2003.pdf,4,text
2004,2004_results_marathon_swim_2004.pdf,5,text
2005,2005_results_marathon_swim_2005.pdf,4,text
2006,2006_results_marathon_swim_2006.pdf,5,text
2007,2007_results_marathon_swim_2007.pdf,6,text
2008,2008_results_marathon_swim_03_08_08.pdf,7,text
2009,2009_results_marathon_swim_2009.pdf,6,text
2010,2010_results_marathon_swim_2010.pdf,7,text
2011,2011_results_marathon_swim_2011.pdf,6,text
2012,2012_results_marathon_swim_2012.pdf,6,text
2013,2013_results_marathon_swim_2013_0.pdf,6,text
2014,2014_results_marathon_swim_2014.pdf,6,text
2015,2015_results_marathon_swim_2015.pdf,5,text
2016,2016_results_marathon_swim_2016.pdf,5,text
2017,2017_results_marathon_swim_2017.pdf,5,text
2018,2018_Marathon_Swim_Results_2018.pdf,5,text
2019,2019_marathon_swim_results_2019.pdf,6,text
2021,2021_Marathon_Swim_Results_2021.pdf,4,text
2022,2022_Results_Marathon_Swim_2022.pdf,5,text
2023,2023_Startliste_Marathon_Swim_2023.pdf,3,text
2024,2024_Results_Marathon_Swim_2024.pdf,4,text
2025,2025_Results_Marathon_Swim_2025.pdf,5,text
2026,2026_Results_Marathon_Swim_2026.pdf,6,text
